"Isoform_PBid","Sample1","Sample2","P_Value_Hyp2_below_median","P_Value_Hyp2_above_median"
"PB.18","Dummy_1","Dummy_2",0.694108024349105,NA
"PB.18","Dummy_1","Dummy_3",NA,0.687903541215172
"PB.18","Dummy_2","Dummy_3",NA,NA
"PB.18","Dummy_1","Dummy_4",1,1
"PB.18","Dummy_2","Dummy_4",0.694108024349105,NA
"PB.18","Dummy_3","Dummy_4",NA,0.687903541215172
"PB.19","Dummy_1","Dummy_2",NA,NA
"PB.19","Dummy_1","Dummy_3",NA,NA
"PB.19","Dummy_2","Dummy_3",NA,NA
"PB.19","Dummy_1","Dummy_4",NA,NA
"PB.19","Dummy_2","Dummy_4",NA,NA
"PB.19","Dummy_3","Dummy_4",NA,NA
"PB.1","Dummy_1","Dummy_2",NA,NA
"PB.1","Dummy_1","Dummy_3",NA,NA
"PB.1","Dummy_2","Dummy_3",NA,NA
"PB.1","Dummy_1","Dummy_4",NA,NA
"PB.1","Dummy_2","Dummy_4",NA,NA
"PB.1","Dummy_3","Dummy_4",NA,NA
"PB.3","Dummy_1","Dummy_2",3.8153530145175e-12,NA
"PB.3","Dummy_1","Dummy_3",NA,0.977889970942349
"PB.3","Dummy_2","Dummy_3",NA,NA
"PB.3","Dummy_1","Dummy_4",1,1
"PB.3","Dummy_2","Dummy_4",3.8153530145175e-12,NA
"PB.3","Dummy_3","Dummy_4",NA,0.977889970942349
"PB.5","Dummy_1","Dummy_2",0.999999999999984,NA
"PB.5","Dummy_1","Dummy_3",NA,0.999999999999966
"PB.5","Dummy_2","Dummy_3",NA,NA
"PB.5","Dummy_1","Dummy_4",1,1
"PB.5","Dummy_2","Dummy_4",0.999999999999984,NA
"PB.5","Dummy_3","Dummy_4",NA,0.999999999999966
"PB.14","Dummy_1","Dummy_2",NA,NA
"PB.14","Dummy_1","Dummy_3",NA,NA
"PB.14","Dummy_2","Dummy_3",0.00583198545692437,NA
"PB.14","Dummy_1","Dummy_4",NA,1
"PB.14","Dummy_2","Dummy_4",NA,NA
"PB.14","Dummy_3","Dummy_4",NA,NA
"PB.6","Dummy_1","Dummy_2",0.999999999999996,NA
"PB.6","Dummy_1","Dummy_3",NA,0.999999999999999
"PB.6","Dummy_2","Dummy_3",NA,NA
"PB.6","Dummy_1","Dummy_4",1,1
"PB.6","Dummy_2","Dummy_4",0.999999999999996,NA
"PB.6","Dummy_3","Dummy_4",NA,0.999999999999999
"PB.7","Dummy_1","Dummy_2",NA,NA
"PB.7","Dummy_1","Dummy_3",NA,NA
"PB.7","Dummy_2","Dummy_3",NA,NA
"PB.7","Dummy_1","Dummy_4",NA,NA
"PB.7","Dummy_2","Dummy_4",NA,NA
"PB.7","Dummy_3","Dummy_4",NA,NA
"PB.15","Dummy_1","Dummy_2",NA,NA
"PB.15","Dummy_1","Dummy_3",NA,NA
"PB.15","Dummy_2","Dummy_3",0.00583198545692437,NA
"PB.15","Dummy_1","Dummy_4",NA,1
"PB.15","Dummy_2","Dummy_4",NA,NA
"PB.15","Dummy_3","Dummy_4",NA,NA
"PB.8","Dummy_1","Dummy_2",NA,NA
"PB.8","Dummy_1","Dummy_3",NA,NA
"PB.8","Dummy_2","Dummy_3",NA,NA
"PB.8","Dummy_1","Dummy_4",NA,NA
"PB.8","Dummy_2","Dummy_4",NA,NA
"PB.8","Dummy_3","Dummy_4",NA,NA
"PB.16","Dummy_1","Dummy_2",NA,NA
"PB.16","Dummy_1","Dummy_3",NA,NA
"PB.16","Dummy_2","Dummy_3",0.00583198545692437,NA
"PB.16","Dummy_1","Dummy_4",NA,1
"PB.16","Dummy_2","Dummy_4",NA,NA
"PB.16","Dummy_3","Dummy_4",NA,NA
"PB.9","Dummy_1","Dummy_2",NA,NA
"PB.9","Dummy_1","Dummy_3",NA,NA
"PB.9","Dummy_2","Dummy_3",NA,NA
"PB.9","Dummy_1","Dummy_4",NA,NA
"PB.9","Dummy_2","Dummy_4",NA,NA
"PB.9","Dummy_3","Dummy_4",NA,NA
"PB.17","Dummy_1","Dummy_2",0.999999999999996,NA
"PB.17","Dummy_1","Dummy_3",NA,0.999999999999999
"PB.17","Dummy_2","Dummy_3",NA,NA
"PB.17","Dummy_1","Dummy_4",1,1
"PB.17","Dummy_2","Dummy_4",0.999999999999996,NA
"PB.17","Dummy_3","Dummy_4",NA,0.999999999999999
"PB.2","Dummy_1","Dummy_2",NA,1.31904779848834e-11
"PB.2","Dummy_1","Dummy_3",NA,NA
"PB.2","Dummy_2","Dummy_3",NA,2.45117023324742e-11
"PB.2","Dummy_1","Dummy_4",NA,NA
"PB.2","Dummy_2","Dummy_4",NA,1.31904779848834e-11
"PB.2","Dummy_3","Dummy_4",NA,NA
"PB.11","Dummy_1","Dummy_2",NA,0.00513907492552492
"PB.11","Dummy_1","Dummy_3",NA,NA
"PB.11","Dummy_2","Dummy_3",NA,0.00583198545692437
"PB.11","Dummy_1","Dummy_4",NA,NA
"PB.11","Dummy_2","Dummy_4",NA,0.00513907492552492
"PB.11","Dummy_3","Dummy_4",NA,NA
"PB.12","Dummy_1","Dummy_2",NA,0.00513907492552492
"PB.12","Dummy_1","Dummy_3",NA,NA
"PB.12","Dummy_2","Dummy_3",NA,0.00583198545692437
"PB.12","Dummy_1","Dummy_4",NA,NA
"PB.12","Dummy_2","Dummy_4",NA,0.00513907492552492
"PB.12","Dummy_3","Dummy_4",NA,NA
"PB.13","Dummy_1","Dummy_2",NA,0.00513907492552492
"PB.13","Dummy_1","Dummy_3",NA,NA
"PB.13","Dummy_2","Dummy_3",NA,0.00583198545692437
"PB.13","Dummy_1","Dummy_4",NA,NA
"PB.13","Dummy_2","Dummy_4",NA,0.00513907492552492
"PB.13","Dummy_3","Dummy_4",NA,NA
"PB.4","Dummy_1","Dummy_2",NA,NA
"PB.4","Dummy_1","Dummy_3",NA,NA
"PB.4","Dummy_2","Dummy_3",NA,NA
"PB.4","Dummy_1","Dummy_4",NA,NA
"PB.4","Dummy_2","Dummy_4",NA,NA
"PB.4","Dummy_3","Dummy_4",NA,NA
