"Isoform_PBid","Sample1","Sample2","P_Value_Hyp2_below_median","P_Value_Hyp2_above_median"
"GeneA","Dummy_1","Dummy_2",NA,NA
"GeneA","Dummy_1","Dummy_3",NA,NA
"GeneA","Dummy_2","Dummy_3",NA,NA
"GeneA","Dummy_1","Dummy_4",NA,NA
"GeneA","Dummy_2","Dummy_4",NA,NA
"GeneA","Dummy_3","Dummy_4",NA,NA
"GeneC","Dummy_1","Dummy_2",3.8153530145175e-12,NA
"GeneC","Dummy_1","Dummy_3",NA,0.977889970942349
"GeneC","Dummy_2","Dummy_3",NA,NA
"GeneC","Dummy_1","Dummy_4",1,1
"GeneC","Dummy_2","Dummy_4",3.8153530145175e-12,NA
"GeneC","Dummy_3","Dummy_4",NA,0.977889970942349
"GeneD","Dummy_1","Dummy_2",0.999999999999992,NA
"GeneD","Dummy_1","Dummy_3",NA,0.999999999999998
"GeneD","Dummy_2","Dummy_3",NA,NA
"GeneD","Dummy_1","Dummy_4",1,1
"GeneD","Dummy_2","Dummy_4",0.999999999999992,NA
"GeneD","Dummy_3","Dummy_4",NA,0.999999999999998
"GeneE","Dummy_1","Dummy_2",NA,NA
"GeneE","Dummy_1","Dummy_3",NA,NA
"GeneE","Dummy_2","Dummy_3",NA,NA
"GeneE","Dummy_1","Dummy_4",NA,NA
"GeneE","Dummy_2","Dummy_4",NA,NA
"GeneE","Dummy_3","Dummy_4",NA,NA
"GeneG","Dummy_1","Dummy_2",NA,NA
"GeneG","Dummy_1","Dummy_3",NA,NA
"GeneG","Dummy_2","Dummy_3",3.06822649479801e-07,NA
"GeneG","Dummy_1","Dummy_4",NA,1
"GeneG","Dummy_2","Dummy_4",NA,NA
"GeneG","Dummy_3","Dummy_4",NA,NA
"GeneH","Dummy_1","Dummy_2",0.999999999999996,NA
"GeneH","Dummy_1","Dummy_3",NA,0.999999999999999
"GeneH","Dummy_2","Dummy_3",NA,NA
"GeneH","Dummy_1","Dummy_4",1,1
"GeneH","Dummy_2","Dummy_4",0.999999999999996,NA
"GeneH","Dummy_3","Dummy_4",NA,0.999999999999999
"GeneI","Dummy_1","Dummy_2",0.694108024349105,NA
"GeneI","Dummy_1","Dummy_3",NA,0.687903541215172
"GeneI","Dummy_2","Dummy_3",NA,NA
"GeneI","Dummy_1","Dummy_4",1,1
"GeneI","Dummy_2","Dummy_4",0.694108024349105,NA
"GeneI","Dummy_3","Dummy_4",NA,0.687903541215172
"GeneB","Dummy_1","Dummy_2",NA,1.31904779848834e-11
"GeneB","Dummy_1","Dummy_3",NA,NA
"GeneB","Dummy_2","Dummy_3",NA,2.45117023324742e-11
"GeneB","Dummy_1","Dummy_4",NA,NA
"GeneB","Dummy_2","Dummy_4",NA,1.31904779848834e-11
"GeneB","Dummy_3","Dummy_4",NA,NA
"GeneF","Dummy_1","Dummy_2",NA,2.1060987471614e-07
"GeneF","Dummy_1","Dummy_3",NA,NA
"GeneF","Dummy_2","Dummy_3",NA,3.06822649479801e-07
"GeneF","Dummy_1","Dummy_4",NA,NA
"GeneF","Dummy_2","Dummy_4",NA,2.1060987471614e-07
"GeneF","Dummy_3","Dummy_4",NA,NA
